event_date;event;source
28/01/2022;On 28 January 2022, an unidentified Palestinian armed group opened fire at Israeli forces on the Huwwarah checkpoint (Nablus, West Bank). There were no casualties.;Quds News Network
29/01/2022;On 29 January 2022, an unidentified Palestinian armed group carried out a drive-by-shooting attack targeting an Israeli military vehicle between the settlement of Yitzhar and the Gilad outpost (Nablus, West Bank), causing material damages to the vehicle. There were no casualties.;"Liveuamap; Times of Israel; Twitter"
01/02/2022;On 1 February 2022, an Israeli settler rammed a Palestinian while driving in Al Quds - Old City (Al Quds, West Bank). The Palestinian sustained bruises and the settler fled the scene.;PLO Negotiations Affairs Department
02/02/2022;On 2 February 2022, armed Palestinian militants opened fire on Israeli military forces during a settler raid of Nablus - An Nabi Yusuf (Nablus, West Bank). Israeli forces were escorting settlers during their visit to Joseph's Tomb. There were no casualties.;Quds News Network
03/02/2022;On 3 February 2022, armed Palestinian militants exchanged fire with Palestinian security forces in Balata Camp (Nablus, West Bank). There were no casualties.;Quds News Network
05/02/2022;On 5 February 2022, armed Palestinian militants opened fire on Israeli military forces near Tiannik (Jenin, West Bank). There were no casualties.;Quds News Network
06/02/2022;On 6 February 2022, armed Palestinian militants opened fire at an Israeli military barricade near Silat al Harithiyah (Jenin, West Bank). There were no casualties.;Quds News Network
08/02/2022;On 8 February 2022, Israeli military forces killed 3 Palestinian militants who were identified as members of Al-Aqsa Brigades affiliated with the Fatah Movement in Nablus city (Nablus, West Bank). Soldiers raided al-Makhfiyeh neighborhood using a public transportation vehicle with a Palestinian license plate, and opened direct fire towards the gunmen's car. According to Israeli sources, the targeted group was responsible for a series of shooting attacks against settlers and IDF posts in the past weeks.;"AFP; Al-Ittihad; Al Ghad (Jordan); Anadolu Agency; AP; Arab 48; BBC News; Dunia Al Watan; Haaretz; Ma'an News Agency; Palestine News and Information Agency; PCHR: Palestinian Centre for Human Rights; PLO Negotiations Affairs Department; Press TV; Xinhua"
09/02/2022;On 9 February 2022, armed Palestinian militants opened fire on Israeli military forces near the separation fence in Al Araqa (Jenin, West Bank). There were no casualties.;Quds News Network
12/02/2022;On 12 February 2022, armed Palestinian gunmen exchanged fire with Palestinian security forces in Hebron (Hebron, West Bank). A reason for the clash was not provided in the source. There were no casualties.;Quds News Network
13/02/2022;On 13 February 2022, an unidentified Palestinian armed group exchanged fire with Israeli military forces during their raid in Silat al Harithiyah (Jenin, West Bank) to demolish the house of a Palestinian convicted of killing a settler last December. Meanwhile, dozens of Palestinian rioters hurled stones and Molotov cocktails towards soldiers who fired tear gas canisters and rubber and live bullets towards them. One Palestinian was killed after being seriously injured with a live bullet in the head, 20 others were injured with rubber bullets, and dozens suffered from tear gas inhalation. Also, an Israeli soldier was wounded with an explosive device.;"AFP; Al-Ittihad; Al Ghad (Jordan); Anadolu Agency; Arab 48; BBC News; Haaretz; Liveuamap; Ma'an News Agency; Palestine News and Information Agency; PCHR: Palestinian Centre for Human Rights; PLO Negotiations Affairs Department; Times of Israel; Twitter"
15/02/2022;On 15 February 2022, armed Palestinian militants opened fire on Israeli military forces during their raid of Jenin (Jenin, West Bank). There were no casualties.;Quds News Network
17/02/2022;On 17 February 2022, armed Palestinian militants opened fire on Israeli military forces during their raid of Nablus (Nablus, West Bank). There were no casualties.;Quds News Network
19/02/2022;On 19 February 2022, armed Palestinian militants opened fire on Israeli military forces in Har Gerizim (Nablus, West Bank). There were no casualties.;Quds News Network
20/02/2022;On 20 February 2022, armed Palestinian militants opened fire on an Israeli military watchtower near the checkpoint in Huwwarah (Nablus, West Bank). There were no casualties.;Quds News Network
23/02/2022;On 23 February 2022, an unidentified Palestinian armed group opened fire towards an Israeli military post at the entrance of An Nabi Salih village (Ramallah and Al Bireh, West Bank). There were no casualties.;Ma'an News Agency
25/02/2022;On 25 February 2022, an Israeli armed settler fired live bullets towards 2 Palestinian refugees riding a car together with a child after their car accidently collied with the settler's car near Hizma town (Al Quds, West Bank). The two men were moderately injured and taken to the hospital for treatment.;"Al-Ittihad; Liveuamap; Palestine News and Information Agency; Twitter"
26/02/2022;On 26 February 2022, an unidentified Palestinian armed group opened fire towards a PIJ leader in Nablus city (Nablus, West Bank). The PIJ considered the incident an assault on one of its prominent political leaders in the Jenin district. A Palestinian who was present in the area was injured with a live bullet.;Ma'an News Agency
28/02/2022;On 28 February 2022, armed Palestinian militants exchanged fire with Israeli military forces during their raid on Jenin - Jenin Camp (Jenin, West Bank). One Palestinian was killed by gunfire and another was seriously injured in the stomach and transported to hospital.;Quds News Network
01/03/2022;On 1 March 2022, Palestinian militants opened fire towards Israeli forces at Qalandia checkpoint (Al Quds, West Bank), with no casualties.;Quds News Network
02/03/2022;On 2 March 2022, PIJ armed Palestinians opened fire towards an Israeli military checkpoint in Al Jalamah (Jenin, West Bank). There were no casualties among the soldiers.;Palestine Information Center
03/03/2022;On 3 March 2022, an unidentified Palestinian armed group exchanged fire with Israeli military forces in Al Quds - Al Ayzariyah (Al Quds, West Bank). There were no casualties.;Quds News Network
04/03/2022;On 4 March 2022, an Israeli settler opened fire towards a group of Palestinians and children near the Romano settlement in Hebron City (Hebron, West Bank). 4 were injured with live bullets, including 3 children, one of them was seriously injured.;"Dunia Al Watan; Ma'an News Agency; Palestine News and Information Agency"
06/03/2022;On 6 March 2022, armed Palestinian militants opened fire, likely at Israeli military forces, at the Bayt Furik (Nablus, West Bank). There were no casualties.;Quds News Network
07/03/2022;On 7 March 2022, armed Palestinian militants opened fire on Israeli military forces in Har Gerizim (Nablus, West Bank). There were no casualties.;Quds News Network
08/03/2022;On 8 March 2022, armed Palestinian militants opened fire on Israeli military forces in Till (Nablus, West Bank). There were no casualties.;Quds News Network
09/03/2022;On 9 March 2022, armed Palestinian militants opened fire on Israeli military forces during their raid in Hay Al Masaken east of Nablus (Nablus, West Bank). There were no casualties.;Quds News Network
11/03/2022;On 11 March 2022, an Israeli armed settler opened fire towards Palestinian shepherds in Khirbat Janbah village (Hebron, West Bank). There were no casualties.;"Ma'an News Agency; Palestine News and Information Agency"
13/03/2022;On 13 March 2022, an armed Israeli settler opened fire towards Palestinian houses in Sinjil village (Ramallah and Al Bireh, West Bank), causing panic among residents. There were no casualties.;Palestine News and Information Agency
14/03/2022;On 14 March 2022, armed Palestinian militants opened fire on Israeli military forces during their raid of Tubas (Tubas, West Bank). There were no casualties.;Quds News Network
15/03/2022;On 15 March 2022, an undercover force of Border Police and Shin Bet, operating overnight to arrest militant suspects in the Bedouin town Rahat (HaDarom, Beer Sheva), got into an exchange of fire with two of the suspects and a third man that accompanied them and shot the latter to death. The two suspects managed to escape, and the killed man, an Israeli citizen resident of the town, was found with an unwarranted gun. The police internal affairs department opened an investigation into the force's conduct in the rare incident.;Haaretz
16/03/2022;On 16 March 2022, an unidentified Palestinian armed group opened fire towards Israeli soldiers near Aqraba town (Nablus, West Bank). There were no casualties among the soldiers.;"Liveuamap; Times of Israel; Twitter"
19/03/2022;On 19 March 2022, an armed Israeli settler fired shots at a group of Palestinians near Azzun (Qalqilya, West Bank). There were no casualties.;Quds News Network
20/03/2022;On 20 March 2022, Israelis associated with the newly-established Barel Rangers unit physically assaulted an Israeli Bedouin while driving a bus in Rahat (Beer Sheva, HaDarom). The attackers pepper-sprayed the bus driver, vandalized the vehicle with metal objects, and attempted to set fire to the vehicle. The Bedouin was lightly injured and taken to the hospital for treatment. The Barel Rangers are an armed group of Jewish citizens formed in the Negev by a former Israeli police officer affiliated with Otzma Yehudit, and consists of far-right activists aiming to save the Negev due to heightened Jewish-Arab tensions and lack of Israeli security control.;"Arab 48; Haaretz"
21/03/2022;On 21 March 2022, armed Palestinian militants opened fire twice on Israeli forces positioned near the security fence in Al Araqa village (Jenin, West Bank). There were no casualties.;Quds News Network
